Mieczysław, Mieszko | Mieczysława, Mieszka
Abel, Achacy, Achacjusz, Aspazja, Bazyli, Grzegorz, Izydor, Jakobina, Jakubina, Makary, Narcyz, Stefania, Strzeżysław, Sylwester, Telesfor | Abla, Achacego, Aspazji, Bazylego, Grzegorza, Izydora, Jakobiny, Jakubiny, Makarego, Narcyza, Stefanii, Strzeżysława, Sylwestra, Telesfora
Danuta, Piotr, Genowefa | Danuty, Piotra, Genowefy
Angelika, Aniela, Dobromir, Eugeniusz, Grzegorz, Izabela | Angeliki, Anieli, Dobromira, Eugeniusza, Grzegorza
Edward, Emilian, Hania, Szymon | Edwarda, Emiliana, Hanny, Szymona
Andrzej, Bolemir, Kacper, Kasper, Melchior, Baltazar | Andrzeja, Bolemira, Kacpra, Kaspra, Melchiora, Baltazara
Julian Łucjan | Juliana Łucjana
Mścisław, Seweryn | Mścisława, Seweryna
Antoni, Borzymir, Julian, Julianna | Antoniego, Borzymira, Juliana, Juliany
Dobrosław, Jan, Paweł Wilhelm | Dobrosława, Jana, Pawła, Wilhelma
Feliks, Krzesimir, Matylda | Feliksa, Krzesimira, Matyldy
Antoni, Arkadiusz, Benedykt, Czesław, Czesława, Ernest | Antoniego, Antoniusza, Arkadiusza, Benedykta, Czesławy, Ernesta
Bogumił Bogusława, Weronika | Bogumiła, Bogusławy, Weroniki
Feliks, Radogost | Feliksa, Radogosta
Aleksander, Dąbrówka, Dobrawa, Domasław, Paweł | Aleksandra, Dąbrówki, Dobrawy, Domasława, Pawła
Marcel, Włodzimierz, Kevin | Marcela, Marcelego, Włodzimierza, Kevina
Antoni, Jan, Rościsław | Antoniego, Jana, Rościsława
Bogumił Jaropełk, Krystyna, Małgorzata, Piotr | Bogumiła, Jaropełka, Krystyny, Małgorzaty, Piotra
Andrzej, Bernard, Erwin, Henryk, Mariusz, Marta, Racimir, Sara | Andrzeja, Bernarda, Erwina, Henryka, Mariusza, Marty, Racimira, Sary
Dobiegniew, Fabian, Sebastian | Dobiegniewa, Fabiana, Sebastiana
Agnieszka, Jarosław, Jarosława | Agnieszki, Jarosława, Jarosławy
Anastazy, Dobromysł Dorian, Marta, Wincenta | Anastazji, Dobromysła, Doriana, Marty, Wincenty
Jan, Maria | Jana, Marii
Felicja, Mirogniew, Rafaela, Rafał Tymoteusz | Felicji, Mirogniewa, Rafaeli, Rafała, Tymoteusza
Miłosz, Miłowan, Miłowit, Paweł Tatiana | Miłosza, Miłowana, Miłowita, Pawła, Tatiany
Paula, Paulina, Wanda | Pauli, Pauliny, Wandy
Angelika, Ilona, Julian | Angeliki, Ilony, Juliana
Agnieszka, Augustyn, Julian, Karol, Piotr, Radomir | Agnieszki, Augustyna, Juliana, Karola, Piotra, Radomira
Hanna, Walerian, Zdzisław | Hanny, Waleriana, Zdzisława
Feliks, Gerard, Maciej, Marcin, Martyna, Sebastian | Feliksa, Gerarda, Macieja, Marcina, Martyny, Sebastiana
Euzebiusz, Jan, Piotr | Euzebiusza, Jana, Piotra
Dobrochna, Ignacy, Paweł Siemirad Żegota | Dobrochny, Ignacego, Pawła, Siemirada Żegoty
Joanna, Korneliusz, Maria, Miłosław, Miłosława | Joanny, Korneliusza, Marii, Miłosławy
Błażej, Maksym, Oskar, Stefan, Telimena | Błażeja, Maksyma, Oskara, Stefana, Telimeny
Andrzej, Gilbert, Jan, Joanna, Józef, Weronika, Witosława | Andrzeja, Gilberta, Jana, Joanny, Józefa, Weroniki, Witosławy
Aga, Agata, Jakub, Jan, Paweł Piotr | Agi, Agaty, Jakuba, Jana, Pawła, Piotra
Antoni, Bogdan, Bohdan, Dorota, Ksenia, Szymon | Antoniego, Bogdana, Bohdana, Doroty, Ksenii, Szymona
Alfons, Parteniusz, Partenia, Romeusz, Romuald, Rozalia, Ryszard, Sulisław | Alfonsa, Parteniusza, Partenii, Romeusza, Romualda, Rozalii, Ryszarda, Sulisława
Gniewomir, Jan, Paweł Piotr, Sebastian | Gniewomira, Jana, Pawła, Piotra, Sebastiana
Bernard, Eryk, Eryka | Bernarda, Eryki
Gabriel, Jacenty, Elwira | Gabriela, Jacek, Jacka, Jacentego, Elwiry
Lucjan, Maria, Olgierd Świętomira | Łucjana, Lucjana, Lucjusza, Marii, Olgierda Świętomiry
Julian, Laurenty, Nora | Juliana, Laurentego, Nory
Grzegorz, Jordan, Katarzyna, Toligniew | Grzegorza, Jordana, Katarzyny, Toligniewa
Dobiesława, Józef, Konrad, Krystyna, Lilian, Liliana, Mikołaj, Niemir, Niemira, Zenon, Cyryl | Dobiesławy, Józefa, Konrada, Krystyny, Liliana, Liliany, Mikołaja, Niemiry, Zenona, Cyryla
Georgina, Jordan, Jowita, Józef, Klaudiusz | Georginy, Jordana, Jowity, Józefa, Klaudiusza
Bernard, Dan, Danuta, Julianna | Bernarda, Dana, Danuty, Julianny
Donat, Franciszek, Julian, Konstanty Łukasz, Niegomir, Zbigniew | Donata, Donaty, Franciszka, Juliana, Konstantego Łukasza, Niegomira, Zbigniewa, Zbyszko, Zbyszka
Albert, Alberta, Krystiana, Więcesława, Zuzanna | Alberty, Krystiany, Więcesławy, Zuzanny
