Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Karina; Hungary: Ábel; Poland: Abel, Achacy, Achacjusz, Aspazja, Bazyli, Grzegorz, Izydor, Jakobina, Jakubina, Makary, Narcyz, Stefania, Strzeżysław, Sylwester, Telesfor
Czech Republic: Radmila; Hungary: Genovéva, Benjámin; Poland: Danuta, Piotr, Genowefa
Czech Republic: Diana; Hungary: Titusz, Leona; Poland: Angelika, Aniela, Dobromir, Eugeniusz, Grzegorz, Izabela
Czech Republic: Dalimil; Hungary: Simon; Poland: Edward, Emilian, Hania, Szymon
Hungary: Boldizsár; Poland: Andrzej, Bolemir, Kacper, Kasper, Melchior, Baltazar
Czech Republic: Vilma; Hungary: Attila, Ramóna; Poland: Julian Łucjan
Czech Republic: Čestmír; Hungary: Gyöngyvér; Poland: Mścisław, Seweryn
Czech Republic: Vladan; Hungary: Marcell; Poland: Antoni, Borzymir, Julian, Julianna
Czech Republic: Břetislav; Hungary: Melánia; Poland: Dobrosław, Jan, Paweł Wilhelm
Czech Republic: Bohdana; Hungary: Ágota; Poland: Feliks, Krzesimir, Matylda
Czech Republic: Pravoslav; Hungary: Ernő; Poland: Antoni, Arkadiusz, Benedykt, Czesław, Czesława, Ernest
Czech Republic: Edita; Hungary: Veronika; Poland: Bogumił Bogusława, Weronika
Czech Republic: Radovan; Hungary: Bódog; Poland: Feliks, Radogost
Czech Republic: Alice; Hungary: Lóránt, Loránd; Poland: Aleksander, Dąbrówka, Dobrawa, Domasław, Paweł
Czech Republic: Ctirad; Hungary: Gusztáv; Poland: Marcel, Włodzimierz, Kevin
Czech Republic: Drahoslav; Hungary: Antal, Antónia; Poland: Antoni, Jan, Rościsław
Czech Republic: Vladislav; Hungary: Piroska; Poland: Bogumił Jaropełk, Krystyna, Małgorzata, Piotr
Czech Republic: Doubravka; Hungary: Sára, Márió; Poland: Andrzej, Bernard, Erwin, Henryk, Mariusz, Marta, Racimir, Sara
Czech Republic: Ilona; Hungary: Fábián, Sebestyén; Poland: Dobiegniew, Fabian, Sebastian
Czech Republic: Běla; Hungary: Ágnes; Poland: Agnieszka, Jarosław, Jarosława
Czech Republic: Slavomír; Hungary: Vince, Artúr; Poland: Anastazy, Dobromysł Dorian, Marta, Wincenta
Czech Republic: Zdeněk; Hungary: Zelma, Rajmund; Poland: Jan, Maria
Czech Republic: Milena; Hungary: Timót; Poland: Felicja, Mirogniew, Rafaela, Rafał Tymoteusz
Czech Republic: Miloš; Hungary: Pál; Poland: Miłosz, Miłowan, Miłowit, Paweł Tatiana
Czech Republic: Zora; Hungary: Vanda, Paula; Poland: Paula, Paulina, Wanda
Czech Republic: Ingrid; Hungary: Angelika; Poland: Angelika, Ilona, Julian
Czech Republic: Otýlie; Hungary: Károly, Karola; Poland: Agnieszka, Augustyn, Julian, Karol, Piotr, Radomir
Czech Republic: Zdislava; Hungary: Adél; Poland: Hanna, Walerian, Zdzisław
Czech Republic: Robin; Hungary: Martina, Gerda; Poland: Feliks, Gerard, Maciej, Marcin, Martyna, Sebastian
Czech Republic: Marika; Hungary: Marcella; Poland: Euzebiusz, Jan, Piotr
Czech Republic: Hynek; Hungary: Ignác; Poland: Dobrochna, Ignacy, Paweł Siemirad Żegota
Czech Republic: Nela, Hromnice; Hungary: Karolina, Aida; Poland: Joanna, Korneliusz, Maria, Miłosław, Miłosława
Czech Republic: Blažej; Hungary: Balázs; Poland: Błażej, Maksym, Oskar, Stefan, Telimena
Czech Republic: Jarmila; Hungary: Ráhel, Csenge; Poland: Andrzej, Gilbert, Jan, Joanna, Józef, Weronika, Witosława
Czech Republic: Dobromila; Hungary: Ágota, Ingrid; Poland: Aga, Agata, Jakub, Jan, Paweł Piotr
Czech Republic: Vanda; Hungary: Dorottya, Dóra; Poland: Antoni, Bogdan, Bohdan, Dorota, Ksenia, Szymon
Czech Republic: Veronika; Hungary: Tódor, Rómeó; Poland: Alfons, Parteniusz, Partenia, Romeusz, Romuald, Rozalia, Ryszard, Sulisław
Czech Republic: Milada; Hungary: Aranka; Poland: Gniewomir, Jan, Paweł Piotr, Sebastian
Czech Republic: Apolena; Hungary: Abigél, Alex; Poland: Bernard, Eryk, Eryka
Czech Republic: Mojmír; Hungary: Elvira; Poland: Gabriel, Jacenty, Elwira
Czech Republic: Božena; Hungary: Bertold, Marietta; Poland: Lucjan, Maria, Olgierd Świętomira
Czech Republic: Slavěna; Hungary: Lídia, Lívia; Poland: Julian, Laurenty, Nora
Czech Republic: Věnceslav; Hungary: Ella, Linda; Poland: Grzegorz, Jordan, Katarzyna, Toligniew
Czech Republic: Valentýn; Hungary: Bálint, Valentin; Poland: Dobiesława, Józef, Konrad, Krystyna, Lilian, Liliana, Mikołaj, Niemir, Niemira, Zenon, Cyryl
Czech Republic: Jiřina; Hungary: Kolos, Georgina; Poland: Georgina, Jordan, Jowita, Józef, Klaudiusz
Czech Republic: Ljuba; Hungary: Julianna, Lilla; Poland: Bernard, Dan, Danuta, Julianna
Czech Republic: Miloslava; Hungary: Donát; Poland: Donat, Franciszek, Julian, Konstanty Łukasz, Niegomir, Zbigniew
Czech Republic: Gizela; Hungary: Bernadett; Poland: Albert, Alberta, Krystiana, Więcesława, Zuzanna
Czech Republic: Patrik; Hungary: Zsuzsanna; Poland: Arnold, Henryk, Konrad
Czech Republic: Oldřich; Hungary: Aladár, Álmos; Poland: Leon, Ludmiła, Ludomiła
Czech Republic: Lenka; Hungary: Eleonóra; Poland: Eleonora, Feliks, Teodor
Czech Republic: Petr; Hungary: Gerzson; Poland: Marta, Małgorzata, Piotr, Wiktor
Czech Republic: Svatopluk; Hungary: Alfréd; Poland: Bądzimir, Damian, Piotr, Roma, Seweryn
Czech Republic: Matěj; Hungary: Mátyás; Poland: Bogurad, Bogusz, Boguta, Maciej, Piotr
Czech Republic: Liliana; Hungary: Géza; Poland: Bolebor, Cezary, Maciej, Małgorzata
Czech Republic: Dorota; Hungary: Edina; Poland: Aleksander, Bogumił Cezariusz, Mirosław, Ewelina
Czech Republic: Alexandr; Hungary: Ákos, Bátor; Poland: Aleksander, Anastazja, Gabriel, Gabriela, Sierosława
Czech Republic: Lumír; Hungary: Elemér; Poland: Józef, Roman, Lech
Czech Republic: Horymír; Poland: Dobronieg, Roman
Czech Republic: Bedřich; Hungary: Albin; Poland: Albin, Antoni, Antonina, Amelia, Feliks, Herakles, Joanna, Józef, Piotr
