'aircut	'aircuts
'alf	'alves
'am	'ams
'ammer	'ammers
'arbour	'arbours
'bot	'bots
'burb	'burbs
'cello	'cellos	'celli
'droid	'droids
'ead	'eads
'eart	'earts
'erb	'erbs
'fridge	'fridges
'fro	'fros
'gater	'Gaters
'hood	'hoods
'ighness	'ighnesses
'it	'its
'naner	'naners
'oliday	'olidays
'ome	'omes
'oney	'oneys
'onour	'onours
'orse	'orses
'ospital	'ospitals
'our	'ours
'phone	'phones
'prentice	'prentices
'puter	'puters
'roid	'roids
'roo	'roos
't hooft operator	't Hooft operators
'tard	'tards
'tec	'tecs
'tude	'tudes
'tute	'tutes
'twixt-brain	'twixt-brains
'ud	'uds
'umour	'umours
'verse	'verses
-holed solid torus	-holed solid tori
-holed torus	-holed tori
-manifold	-manifolds
a	aes	as	a's
a band	A bands
a battery	A batteries
a cold day in hell	cold days in Hell
a cup	A cups
a cut above	cuts above
a game	A games
a gentleman and a scholar	gentlemen and scholars
a level	A levels
a life of its own	lives of their own
a minus	A minuses
a plot	A plots
a plus	A pluses
a quick drop and a sudden stop	quick drops and sudden stops
a road	A roads
a roland for an oliver	Rolands for Olivers
a roll	A rolls
a scholar and a gentleman	scholars and gentlemen
a special	A Specials
a team	A teams
a to z	A to Zs
a-bomb	A-bombs
a-bomber	A-bombers
a-fib	a-fibs
a-flat	A-flats
a-frame	A-frames
a-gang	A-gangs
a-gay	A-gays
a-h conduction time	a-h conduction times
a-hole	a-holes
a-level	A-levels
a-lifer	A-lifers
a-line	A-lines
a-lister	A-listers
a-minor	A-minors
a-pillar	A-pillars
a-post	A-posts
a-road	A-roads
a-schwa	a-schwas
a-shirt	A-shirts
a-side	A-sides
a-stem	a-stems
a-team	A-teams
a-type conflict	A-type conflicts
a-word	a-words
aa cup	AA cups
aab	aabs
aabfs	aabfss
aabp	aabps
aabshil	aabshils
aac	aacs
aacc	aaccs
aace	aaces
aacm	aacms
aacu	aacus
aad	aads
aad wife	aad wives
aada	aadas
aah	aahs
aal	aals
aalii	aaliis
aam	aams
aandblom	aandbloms
aapa	aapas
aard-vark	aard-varks
aard-wolf	aard-wolves
aardvark	aardvarks
aardwolf	aardwolves
aaron's beard	Aaron's beards
aaron's beard cactus	Aaron's beard cacti
aaron's-beard	Aaron's-beards
aaron's-beard cactus	Aaron's-beard cacti
aaronite	Aaronites
aarthi	aarthis
aarti	aartis
aasvoel	aasvoels
aasvogel	aasvogels
aazaan	aazaans
ab	abs	Abs
aba	abas
abab	ababs
ababda	Ababdas
ababdeh	Ababdehs
abac	abacs
abaca	abacas
abacate	abacates
abacaxi	abacaxis
abacination	abacinations
abaciscus	abacisci	abaciscuses
abacist	abacists
aback	abacks
abacost	abacosts
abactor	abactors
abaculus	abaculi
abacus	abaci	abacuses
abada	abadas
abadite	Abadites
abagun	abaguns
abaisance	abaisances
abaiser	abaisers
abaisse	abaisses
abaka	abakas
abaká	abakás
abalienation	abalienations
abalone	abalones
abamp	abamps
abampere	abamperes
abandon	abandons
abandoned property	abandoned properties
abandonee	abandonees
abandoner	abandoners
abandoning	abandonings
abandonment	abandonments
abanet	abanets
abanga	abangas
abannation	abannations
abaptiston	abaptistons
abarthrosis	abarthroses
abarticulation	abarticulations
abas	abas
abasement	abasements
abaser	abasers
abashment	abashments
abasi	abasis
abasia	abasias
abassi	abassis
abat-vent	abat-vents
abat-voix	abat-voix
abatage	abatages
abate	abates
abatee	abatees
abatelement	abatelements
abatement	abatements
abater	abaters
abatis	abatises	abatis
abatjour	abatjours
abaton	abatons
abator	abators
abatsons	abatsons
abattage	abattages
abattis	abattises	abattis
abattoir	abattoirs
abature	abatures
abatvoix	abatvoix
abax	abaxes
abay	abays
abaya	abayas
abazi	abazis
abazin	Abazins
abañeeme	Abañeemes
abb	abbs
abb wool	abb wools
abb-wool	abb wools
abba	abbas	Abbas
abbacy	abbacies
abbadid	Abbadids
abbaser	abbasers
abbasi	abbasis
abbasid	Abbasids
abbassid	Abbassids
abbasside	Abbassides
abbatess	abbetesses
abbatie	abbaties
abbaye	abbayes
abbe	abbes
abbe condenser	Abbe condensers
abbe number	Abbe numbers
abbe refractometer	Abbe refractometers
abbe-zeiss apparatus	Abbe-Zeiss apparatuses
abbess	abbesses
abbethdin	Abbethdins
abbey	abbeys
abbey-lubber	abbey-lubbers
abbeystead	abbeysteads
abbeystede	abbeystedes
abbot	abbots
abbot general	abbots general
abbot of misrule	Abbots of Misrule
abbot of the people	abbots of the people
abbot of unreason	Abbot of Unreasons
abbot primate	abbots primate	abbot primates
abbotcy	abbotcies
abbotess	abbotesses
abbotric	abbotrics
abbotrick	abbotricks
abbotship	abbotships
abbott's booby	Abbott's boobies
abbott-miller tube	Abbott-Miller tubes
abbozzo	abbozzi
abbr	abbrs
abbrev	abbrevs	abbrev
abbreviate	abbreviates
abbreviated number	abbreviated numbers
abbreviater	abbreviaters
